hsk4級,访问,fang3 wen4,訪問する
hsk4級,放弃,fang4 qi4,諦め
hsk4級,放暑假,fang4 shu3 jia4,夏休み
hsk4級,…分之…,fen1 zhi1,…分の…
hsk4級,份,fen4,パート
hsk4級,丰富,feng1 fu4,豊か
hsk4級,风景,feng1 jing3,景色
hsk4級,否则,fou3 ze2,その他
hsk4級,符合,fu2 he2,に沿って、
hsk4級,富,fu4,豊か
hsk4級,父亲,fu4 qin1,父
hsk4級,复印,fu4 yin4,コピー
hsk4級,复杂,fu4 za2,コンプレックス
hsk4級,负责,fu4 ze2,責任
hsk4級,改变,gai3 bian4,変更
hsk4級,干杯,gan1 bei1,乾杯
hsk4級,干燥,gan1 zao4,干し
hsk4級,感动,gan3 dong4,感動する
hsk4級,感觉,gan3 jue2,感じる
hsk4級,感情,gan3 qing2,気持ち
hsk4級,感谢,gan3 xie4,感謝
hsk4級,干,gan1,干す
hsk4級,刚刚,gang1 gang5,ついさっき
hsk4級,高级,gao1 ji2,高度
hsk4級,各,ge4,各
hsk4級,个子,ge4 zi5,身長
hsk4級,公里,gong1 li3,キロ
hsk4級,工具,gong1 ju4,ツール
hsk4級,工资,gong1 zi1,工賃
hsk4級,共同,gong4 tong2,一般的
hsk4級,够,gou4,十分に
hsk4級,购物,gou4 wu4,ショッピング
hsk4級,孤单,gu1 dan1,孤独
hsk4級,估计,gu1 ji4,推計
hsk4級,鼓励,gu3 li4,励まし
hsk4級,鼓掌,gu3 zhang3,拍手
hsk4級,顾客,gu4 ke4,顧客
hsk4級,故意,gu4 yi4,わざと
hsk4級,挂,gua4,ハング
hsk4級,关键,guan1 jian4,キー
hsk4級,观众,guan1 zhong4,聴衆
hsk4級,管理,guan3 li3,管理
hsk4級,光,guang1,ライト
hsk4級,广播,guang3 bo1,放送
hsk4級,广告,guang3 gao4,広告
hsk4級,逛,guang4,訪問
hsk4級,规定,gui1 ding4,規定
hsk4級,国际,guo2 ji4,国際
hsk4級,果然,guo3 ran2,真に
hsk4級,过,guo4,～したことがある
hsk4級,过程,guo4 cheng2,プロセス
hsk4級,海洋,hai3 yang2,海洋
hsk4級,害羞,hai4 xiu1,シャイ
hsk4級,寒假,han2 jia4,冬休み
hsk4級,汗,han4,汗
hsk4級,航班,hang2 ban1,フライト
hsk4級,好处,hao3 chu5,利益
hsk4級,好像,hao3 xiang4,～のような
hsk4級,号码,hao4 ma3,番号
hsk4級,合格,he2 ge2,合格する
hsk4級,合适,he2 shi4,適当
hsk4級,盒子,he2 zi5,箱
hsk4級,猴子,hou2 zi5,猿
hsk4級,厚,hou4,厚い
hsk4級,后悔,hou4 hui3,後悔
hsk4級,后来,hou4 lai2,後
hsk4級,忽然,hu1 ran2,突然
hsk4級,护士,hu4 shi5,看護師
hsk4級,互相,hu4 xiang1,互いに
hsk4級,怀疑,huai2 yi2,容疑者
hsk4級,回忆,hui2 yi4,リコール
hsk4級,活动,huo2 dong4,アクティビティ
hsk4級,活泼,huo2 po5,活発
hsk4級,火,huo3,火災
hsk4級,获得,huo4 de2,得
hsk4級,基础,ji1 chu3,財団
hsk4級,激动,ji1 dong4,興奮
hsk4級,积极,ji1 ji2,ポジティブ
hsk4級,积累,ji1 lei3,蓄積
hsk4級,极其,ji2 qi2,極めて
hsk4級,集合,ji2 he2,セット
hsk4級,及时,ji2 shi2,タイムリー
hsk4級,即使,ji2 shi3,例え
hsk4級,寄,ji4,送り
hsk4級,记者,ji4 zhe3,レポーター
hsk4級,计划,ji4 hua4,計画
hsk4級,既然,ji4 ran2,今
hsk4級,技术,ji4 shu4,テクノロジー
hsk4級,继续,ji4 xu4,続け
hsk4級,家具,jia1 ju4,家具
hsk4級,加班,jia1 ban1,残業
hsk4級,加油站,jia1 you2 zhan4,ガソリンスタンド
hsk4級,假,jia3,偽
hsk4級,价格,jia4 ge2,価格
hsk4級,坚持,jian1 chi2,やり通す
hsk4級,减肥,jian3 fei2,体重を減らし
hsk4級,减少,jian3 shao3,減少
hsk4級,将来,jiang1 lai2,将来
hsk4級,奖金,jiang3 jin1,ボーナス
hsk4級,降低,jiang4 di1,下がる
hsk4級,交,jiao1,支払い
hsk4級,交流,jiao1 liu2,為替
hsk4級,交通,jiao1 tong1,トラフィック
hsk4級,骄傲,jiao1 ao4,誇りに思い
hsk4級,饺子,jiao3 zi5,餃子
hsk4級,教授,jiao4 shou4,教授
hsk4級,教育,jiao4 yu4,教育
hsk4級,接受,jie1 shou4,レセプション
hsk4級,结果,jie1 guo3,結果
hsk4級,节约,jie2 yue1,保存
hsk4級,解释,jie3 shi4,説明
hsk4級,尽管,jin3 guan3,であるが
hsk4級,紧张,jin3 zhang1,テンション
hsk4級,进行,jin4 xing2,上のキャリー
hsk4級,禁止,jin4 zhi3,禁止
hsk4級,精彩,jing1 cai3,素晴らしい
hsk4級,精神,jing1 shen2,精神
hsk4級,经济,jing1 ji4,経済
hsk4級,经历,jing1 li4,経歴
hsk4級,经验,jing1 yan4,経験
hsk4級,京剧,Jing1 ju4,中国の劇
hsk4級,警察,jing3 cha2,警察
hsk4級,竟然,jing4 ran2,実は
hsk4級,竞争,jing4 zheng1,競争
hsk4級,镜子,jing4 zi5,鏡
hsk4級,究竟,jiu1 jing4,丁度
hsk4級,举办,ju3 ban4,ホールド
hsk4級,拒绝,ju4 jue2,断り
hsk4級,距离,ju4 li2,距離
hsk4級,开玩笑,kai1 wan2 xiao4,ジョーク
hsk4級,看法,kan4 fa3,意見
hsk4級,考虑,kao3 lv4,考え
hsk4級,棵,ke1,木
hsk4級,科学,ke1 xue2,科学
hsk4級,咳嗽,ke2 sou5,咳
hsk4級,可怜,ke3 lian2,哀れみ
hsk4級,可是,ke3 shi4,しかし
hsk4級,可惜,ke3 xi1,不運にも
hsk4級,肯定,ken3 ding4,確か
hsk4級,空气,kong1 qi4,空気
hsk4級,恐怕,kong3 pa4,恐がる
hsk4級,苦,ku3,苦い
hsk4級,宽,kuan1,幅
hsk4級,困,kun4,眠い
hsk4級,困难,kun4 nan5,難しさ
hsk4級,扩大,kuo4 da4,広げ
hsk4級,拉,la1,引く
hsk4級,垃圾桶,la1 ji1 tong3,ゴミ
hsk4級,辣,la4,スパイシー
hsk4級,来不及,lai2 bu5 ji2,遅すぎ
hsk4級,来得及,lai2 de5 ji2,遅すぎ
hsk4級,懒,lan3,レイジー
hsk4級,浪费,lang4 fei4,廃棄物
hsk4級,浪漫,lang4 man4,ロマンチック
hsk4級,老虎,lao3 hu3,虎
hsk4級,冷静,leng3 jing4,穏やか
hsk4級,理发,li3 fa4,理髪
hsk4級,理解,li3 jie3,理解
hsk4級,理想,li3 xiang3,理想的
hsk4級,礼貌,li3 mao4,礼儀
hsk4級,厉害,li4 hai5,さらに悪いことに
hsk4級,力气,li4 qi5,強
hsk4級,例如,li4 ru2,例えば
hsk4級,俩,lia3,どちらも
hsk4級,连,lian2,さえ
hsk4級,联系,lian2 xi4,接触
hsk4級,凉快,liang2 kuai5,涼み
hsk4級,亮,liang4,明るい
hsk4級,聊天,liao2 tian1,話す
hsk4級,另外,ling4 wai4,他の
hsk4級,留,liu2,滞在
hsk4級,留学,liu2 xue2,留学
hsk4級,流泪,liu2 lei4,叫び
hsk4級,流利,liu2 li4,流暢
hsk4級,流行,liu2 xing2,流行っている
hsk4級,乱,luan4,不規則
hsk4級,律师,lv4 shi1,弁護士
hsk4級,麻烦,ma2 fan5,トラブル
hsk4級,马虎,ma3 hu5,不注意な
hsk4級,满,man3,いっぱい
hsk4級,毛巾,mao2 jin1,タオル
hsk4級,美丽,mei3 li4,美しい
hsk4級,梦,meng4,夢
hsk4級,密码,mi4 ma3,パスワード
hsk4級,免费,mian3 fei4,自由な
hsk4級,民族,min2 zu2,国家
hsk4級,母亲,mu3 qin1,母
hsk4級,目的,mu4 di4,目的
hsk4級,耐心,nai4 xin1,患者
hsk4級,难道,nan2 dao4,まさか～だろう
hsk4級,难受,nan2 shou4,不快な
hsk4級,内,nei4,以内
hsk4級,内容,nei4 rong2,コンテンツ
hsk4級,能力,neng2 li4,能力
hsk4級,年龄,nian2 ling2,年齢
hsk4級,农村,nong2 cun1,田舎
hsk4級,弄,nong4,得
hsk4級,暖和,nuan3 huo5,暖かい
hsk4級,偶尔,ou3 er3,時には
hsk4級,排列,pai2 lie4,配列する
hsk4級,判断,pan4 duan4,裁判官
hsk4級,陪,pei2,添え
hsk4級,批评,pi1 ping2,批判
hsk4級,皮肤,pi2 fu1,皮膚
hsk4級,脾气,pi2 qi4,気性
hsk4級,篇,pian1,作品
hsk4級,骗,pian4,騙し
hsk4級,乒乓球,ping1 pang1 qiu2,卓球
hsk4級,平时,ping2 shi2,通常
hsk4級,瓶子,ping2 zi5,ボトル
hsk4級,破,po4,壊す
hsk4級,普遍,pu3 bian4,広範
hsk4級,其次,qi2 ci4,第二に
hsk4級,其中,qi2 zhong1,間で
hsk4級,起飞,qi3 fei1,離陸
hsk4級,起来,qi3 lai5,アップ
hsk4級,气候,qi4 hou4,気候
hsk4級,千万,qian1 wan4,十万人
hsk4級,签证,qian1 zheng4,ビザ
hsk4級,墙,qiang2,壁
hsk4級,敲,qiao1,ノック
hsk4級,桥,qiao2,ブリッジ
hsk4級,巧克力,qiao3 ke4 li4,チョコレート
hsk4級,亲戚,qin1 qi5,相対
hsk4級,轻,qing1,ライト
hsk4級,轻松,qing1 song1,リラックス
hsk4級,情况,qing2 kuang4,状況
hsk4級,请假,qing3 jia4,休暇を依頼する
hsk4級,请客,qing3 ke4,夕食
hsk4級,穷,qiong2,貧しい
hsk4級,区别,qu1 bie2,違い
hsk4級,取,qu3,取り
hsk4級,全部,quan2 bu4,完成
hsk4級,缺点,que1 dian3,短所
hsk4級,缺少,que1 shao3,不足
hsk4級,却,que4,しかし
hsk4級,确实,que4 shi2,真に
hsk4級,群,qun2,グループ
hsk4級,然而,ran2 er2,但し
hsk4級,热闹,re4 nao5,活発
hsk4級,人民币,ren2 min2 bi4,人民元
hsk4級,任何,ren4 he2,すべての
hsk4級,任务,ren4 wu5,タスク
hsk4級,扔,reng1,投げる
hsk4級,仍然,reng2 ran2,やはり
hsk4級,日记,ri4 ji4,日記
hsk4級,入口,ru4 kou3,エントランス
hsk4級,软,ruan3,ソフト
hsk4級,散步,san4 bu4,散歩する
hsk4級,森林,sen1 lin2,森
hsk4級,沙发,sha1 fa1,ソファ
hsk4級,商量,shang1 liang5,話し合い
hsk4級,伤心,shang1 xin1,悲しい
hsk4級,稍微,shao1 wei1,少し
hsk4級,社会,she4 hui4,コミュニティ
hsk4級,深,shen1,深い
hsk4級,申请,shen1 qing3,申請する
hsk4級,甚至,shen4 zhi4,さえ
hsk4級,生活,sheng1 huo2,生活
hsk4級,生命,sheng1 ming4,生活
hsk4級,省,sheng3,州
hsk4級,剩,sheng4,残り
hsk4級,失败,shi1 bai4,故障
hsk4級,失望,shi1 wang4,失望した
hsk4級,师傅,shi1 fu5,マスター
hsk4級,湿润,shi1 run4,湿る
hsk4級,狮子,shi1 zi5,ライオン
hsk4級,十分,shi2 fen1,非常に
hsk4級,实际,shi2 ji4,リアル
hsk4級,实在,shi2 zai4,真に
hsk4級,食品,shi2 pin3,食べ物
hsk4級,使用,shi3 yong4,使用
hsk4級,试,shi4,テスト
hsk4級,市场,shi4 chang3,市場
hsk4級,适合,shi4 he2,フィット
hsk4級,适应,shi4 ying4,合わせる
hsk4級,世纪,shi4 ji4,世紀
hsk4級,收,shou1,受け取る
hsk4級,收入,shou1 ru4,収入
hsk4級,收拾,shou1 shi5,パック
hsk4級,首都,shou3 du1,首都
hsk4級,首先,shou3 xian1,最初の
hsk4級,受不了,shou4 bu4 liao3,受け入れられない
hsk4級,受到,shou4 dao4,苦しみ
hsk4級,售货员,shou4 huo4 yuan2,店員
hsk4級,输,shu1,負ける
hsk4級,熟悉,shu2 xi1,よく知っている
hsk4級,数量,shu4 liang4,数量
hsk4級,数字,shu4 zi4,デジタル
hsk4級,帅,shuai4,元帥
hsk4級,顺便,shun4 bian4,ついでに
hsk4級,顺利,shun4 li4,なめらかに
hsk4級,顺序,shun4 xu4,オーダー
hsk4級,说明,shuo1 ming2,説明
hsk4級,硕士,shuo4 shi4,修士号
hsk4級,死,si3,死にました
hsk4級,速度,su4 du4,スピード
hsk4級,塑料袋,su4 liao4 dai4,ビニール袋
hsk4級,酸,suan1,酸っぱい
hsk4級,算,suan4,カウント
hsk4級,随便,sui2 bian4,カジュアル
hsk4級,随着,sui2 zhe5,とともに
hsk4級,孙子,sun1 zi5,孫
hsk4級,所有,suo3 you3,全て
hsk4級,台,tai2,台湾
hsk4級,抬,tai2,リフト
hsk4級,态度,tai4 du5,態度
hsk4級,谈,tan2,話
hsk4級,弹钢琴,tan2 gang1 qin2,ピアノを弾く
hsk4級,汤,tang1,スープ
hsk4級,趟,tang1,旅
hsk4級,躺,tang3,嘘
hsk4級,讨论,tao3 lun4,話し合い
hsk4級,讨厌,tao3 yan4,嫌い
hsk4級,特点,te4 dian3,機能
hsk4級,提供,ti2 gong1,提供
hsk4級,提前,ti2 qian2,進め
hsk4級,提醒,ti2 xing3,思い出させ
hsk4級,填空,tian2 kong4,空欄に記入
hsk4級,条件,tiao2 jian4,条件
hsk4級,停止,ting2 zhi3,ストップ
hsk4級,挺,ting3,非常に
hsk4級,通过,tong1 guo4,によって
hsk4級,通知,tong1 zhi1,お知らせ
hsk4級,同情,tong2 qing2,同情
hsk4級,推,tui1,プッシュ
hsk4級,推迟,tui1 chi2,後回し
hsk4級,脱,tuo1,離陸
hsk4級,袜子,wa4 zi5,靴下
hsk4級,完全,wan2 quan2,完成
hsk4級,往,wang3,へ
hsk4級,往往,wang3 wang3,しばしば
hsk4級,网球,wang3 qiu2,テニス
hsk4級,网站,wang3 zhan4,ウェブサイト
hsk4級,危险,wei1 xian3,危険な
hsk4級,味道,wei4 dao4,味
hsk4級,温度,wen1 du4,温度
hsk4級,文章,wen2 zhang1,記事
hsk4級,握手,wo4 shou3,握手
hsk4級,污染,wu1 ran3,汚染
hsk4級,无,wu2,無い
hsk4級,无聊,wu2 liao2,退屈
hsk4級,无论,wu2 lun4,かかわらず、
hsk4級,误会,wu4 hui4,誤解
hsk4級,西红柿,xi1 hong2 shi4,トマト
hsk4級,吸引,xi1 yin3,引き付け
hsk4級,洗衣机,xi3 yi1 ji1,洗濯機
hsk4級,咸,xian2,辛味
hsk4級,现代,xian4 dai4,近代的
hsk4級,羡慕,xian4 mu4,羨望
hsk4級,限制,xian4 zhi4,制限事項
hsk4級,香,xiang1,インセンス
hsk4級,相反,xiang1 fan3,反して
hsk4級,详细,xiang2 xi4,詳しい
hsk4級,响,xiang3,音
hsk4級,消息,xiao1 xi5,ニュース
hsk4級,小说,xiao3 shuo1,フィクション
hsk4級,笑话,xiao4 hua4,ジョーク
hsk4級,效果,xiao4 guo3,効果
hsk4級,辛苦,xin1 ku3,ハード
hsk4級,心情,xin1 qing2,気分
hsk4級,信任,xin4 ren4,信頼
hsk4級,信心,xin4 xin1,信頼
hsk4級,信用卡,xin4 yong4 ka3,クレジットカード
hsk4級,兴奋,xing1 fen4,興奮
hsk4級,行,xing2,行
hsk4級,醒,xing3,モーニングコール
hsk4級,性别,xing4 bie2,性別
hsk4級,性格,xing4 ge2,文字
hsk4級,幸福,xing4 fu2,幸せ
hsk4級,修,xiu1,リペア
hsk4級,许多,xu3 duo1,多くの
hsk4級,血,xue4,血液
hsk4級,压力,ya1 li4,圧力
hsk4級,牙膏,ya2 gao1,歯磨
hsk4級,亚洲,Ya4 zhou1,アジア
hsk4級,呀,ya5,うん
hsk4級,盐,yan2,塩
hsk4級,严格,yan2 ge2,厳密
hsk4級,严重,yan2 zhong4,深刻
hsk4級,研究生,yan2 jiu1 sheng1,卒業生
hsk4級,演出,yan3 chu1,ショー
hsk4級,演员,yan3 yuan2,俳優
hsk4級,阳光,yang2 guang1,日光
hsk4級,养成,yang3 cheng2,養う
hsk4級,样子,yang4 zi5,外観
hsk4級,邀请,yao1 qing3,招待する
hsk4級,钥匙,yao4 shi5,キー
hsk4級,也许,ye3 xu3,多分
hsk4級,页,ye4,ページ
hsk4級,叶子,ye4 zi5,葉
hsk4級,一切,yi2 qie4,すべて
hsk4級,以,yi3,とともに
hsk4級,亿,yi4,一億
hsk4級,意见,yi4 jian4,意見
hsk4級,艺术,yi4 shu4,アート
hsk4級,因此,yin1 ci3,故に
hsk4級,饮料,yin3 liao4,飲物
hsk4級,引起,yin3 qi3,原因
hsk4級,印象,yin4 xiang4,印象
hsk4級,赢,ying2,勝利
hsk4級,硬,ying4,ハード
hsk4級,勇敢,yong3 gan3,勇敢
hsk4級,永远,yong3 yuan3,永久に
hsk4級,优点,you1 dian3,利点
hsk4級,优秀,you1 xiu4,優秀
hsk4級,幽默,you1 mo4,ユーモア
hsk4級,由,you2,によって
hsk4級,由于,you2 yu2,なぜなら
hsk4級,尤其,you2 qi2,特に、
hsk4級,有趣,you3 qu4,面白い
hsk4級,友好,you3 hao3,優しい
hsk4級,友谊,you3 yi4,友情
hsk4級,愉快,yu2 kuai4,楽しい
hsk4級,于是,yu2 shi4,それから
hsk4級,与,yu2,と
hsk4級,语法,yu3 fa3,文法
hsk4級,语言,yu3 yan2,言語
hsk4級,羽毛球,yu3 mao2 qiu2,バドミントン
hsk4級,预习,yu4 xi2,予備校
hsk4級,圆,yuan2,ラウンド
hsk4級,原来,yuan2 lai2,オリジナル
hsk4級,原谅,yuan2 liang4,許し
hsk4級,原因,yuan2 yin1,理由
hsk4級,约会,yue1 hui4,任命
hsk4級,阅读,yue4 du2,読み
hsk4級,允许,yun3 xu3,許し
hsk4級,杂志,za2 zhi4,雑誌
hsk4級,咱们,zan2 men5,我々
hsk4級,暂时,zan4 shi2,仮に
hsk4級,脏,zang4,汚い
hsk4級,责任,ze2 ren4,責任
hsk4級,增加,zeng1 jia1,追加
hsk4級,增长,zeng1 zhang3,増加
hsk4級,窄,zhai3,狭い
hsk4級,招聘,zhao1 pin4,募集
hsk4級,真正,zhen1 zheng4,リアル
hsk4級,整理,zheng3 li3,整理し
hsk4級,整齐,zheng3 qi2,すっきり
hsk4級,正常,zheng4 chang2,ノーマル
hsk4級,正好,zheng4 hao3,ただ
hsk4級,正确,zheng4 que4,正しい
hsk4級,正式,zheng4 shi4,公式
hsk4級,证明,zheng4 ming2,証明し
hsk4級,之,zhi1,それは
hsk4級,只,zhi1,のみ
hsk4級,支持,zhi1 chi2,サポート
hsk4級,知识,zhi1 shi5,知識
hsk4級,值得,zhi2 de5,価値
hsk4級,直接,zhi2 jie1,ダイレクト
hsk4級,植物,zhi2 wu4,プラント
hsk4級,职业,zhi2 ye4,職業
hsk4級,指,zhi3,指
hsk4級,只好,zhi3 hao3,しなければなりません
hsk4級,只要,zhi3 yao4,限り
hsk4級,质量,zhi4 liang4,品質
hsk4級,至少,zhi4 shao3,少なくとも
hsk4級,制造,zhi4 zao4,作成
hsk4級,中文,Zhong1 wen2,中国の
hsk4級,重点,zhong4 dian3,重点
hsk4級,重视,zhong4 shi4,注意を払い
hsk4級,周围,zhou1 wei2,周りに
hsk4級,猪,zhu1,豚
hsk4級,逐渐,zhu2 jian4,徐々に
hsk4級,主动,zhu3 dong4,主導権を握る
hsk4級,主意,zhu3 yi5,考え
hsk4級,祝贺,zhu4 he4,祝う
hsk4級,著名,zhu4 ming2,名高い
hsk4級,专门,zhuan1 men2,特別な
hsk4級,专业,zhuan1 ye4,専門
hsk4級,赚,zhuan4,得
hsk4級,撞,zhuang4,ヒット
hsk4級,准确,zhun3 que4,正確
hsk4級,准时,zhun3 shi2,オン時間
hsk4級,仔细,zi3 xi4,注意深い
hsk4級,自然,zi4 ran2,自然に
hsk4級,总结,zong3 jie2,概要
hsk4級,租,zu1,家賃
hsk4級,组成,zu3 cheng2,構図
hsk4級,组织,zu3 zhi1,組織
hsk4級,嘴,zui3,口
hsk4級,最好,zui4 hao3,最高
hsk4級,最后,zui4 hou4,遂に
hsk4級,尊重,zun1 zhong4,尊敬
hsk4級,做生意,zuo4 sheng1 yi4,ビジネス
hsk4級,座,zuo4,シート
hsk4級,座位,zuo4 wei4,シート
hsk4級,作者,zuo4 zhe3,著者
hsk5級,唉,ai1,嗚呼
hsk5級,爱护,ai4 hu4,大切にする
hsk5級,爱惜,ai4 xi1,大切にする
hsk5級,爱心,ai4 xin1,思いやり
hsk5級,安慰,an1 wei4,慰め
hsk5級,安装,an1 zhuang1,インストール
hsk5級,岸,an4,岸
hsk5級,把握,ba3 wo4,把握
hsk5級,摆,bai3,スイング
hsk5級,班主任,ban1 zhu3 ren4,教頭
hsk5級,办理,ban4 li3,ハンドル
hsk5級,棒,bang4,スティック
hsk5級,傍晚,bang4 wan3,夕方
hsk5級,包裹,bao1 guo3,ラップ
hsk5級,包含,bao1 han2,含み
hsk5級,包子,bao1 zi5,丸パン
hsk5級,薄,bao2,薄い
hsk5級,宝贝,bao3 bei4,赤ちゃん
hsk5級,宝贵,bao3 gui4,貴重
hsk5級,保持,bao3 chi2,保持
hsk5級,保存,bao3 cun2,保存
hsk5級,保留,bao3 liu2,保持
hsk5級,保险,bao3 xian3,安全性
hsk5級,报告,bao4 gao4,レポート
hsk5級,悲观,bei1 guan1,悲観的
hsk5級,背,bei4,リア
hsk5級,背景,bei4 jing3,背景
hsk5級,被子,bei4 zi5,キルト
hsk5級,本科,ben3 ke1,学部のコース
hsk5級,本领,ben3 ling3,能力
hsk5級,本质,ben3 zhi4,自然
hsk5級,比例,bi3 li4,割合
hsk5級,比如,bi3 ru2,そのようなものとして
hsk5級,彼此,bi3 ci3,互いに
hsk5級,毕竟,bi4 jing4,結局
hsk5級,避免,bi4 mian3,避ける
hsk5級,必然,bi4 ran2,必然
hsk5級,必需,bi4 xu1,不可欠
hsk5級,必要,bi4 yao4,必要
hsk5級,编辑,bian1 ji2,編集する
hsk5級,鞭炮,bian1 pao4,爆竹
hsk5級,便,bian4,それから
hsk5級,辩论,bian4 lun4,ディベート
hsk5級,标点,biao1 dian3,句読
hsk5級,标志,biao1 zhi4,マーク
hsk5級,表面,biao3 mian4,表面
hsk5級,表明,biao3 ming2,ショー
hsk5級,表情,biao3 qing2,表現
hsk5級,表现,biao3 xian4,ショー
hsk5級,病毒,bing4 du2,ウイルス
hsk5級,丙,bing3,プロピオン酸
hsk5級,玻璃,bo1 li5,ガラス
hsk5級,博物馆,bo2 wu4 guan3,博物館
hsk5級,脖子,bo2 zi5,首
hsk5級,不必,bu2 bi4,必要はありません
hsk5級,不断,bu2 duan4,絶えず
hsk5級,不见得,bu2 jian4 de5,そうとも限りません
hsk5級,不耐烦,bu2 nai4 fan2,せっかち
hsk5級,不要紧,bu2 yao4 jin3,気にしないで
hsk5級,补充,bu3 chong1,サプリメント
hsk5級,布,bu4,布
hsk5級,不安,bu4 an1,ちょこちょこ
hsk5級,不得了,bu4 de2 liao3,極めて
hsk5級,不好意思,bu4 hao3 yi4 si5,恥ずかしい
hsk5級,不免,bu4 mian3,やむをえない
hsk5級,不然,bu4 ran2,その他
hsk5級,不如,bu4 ru2,ほど良好ではありません
hsk5級,不足,bu4 zu2,不十分な
hsk5級,部门,bu4 men2,部門
hsk5級,步骤,bu4 zhou4,ステップ
hsk5級,财产,cai2 chan3,プロパティ
hsk5級,踩,cai3,トレッド
hsk5級,采访,cai3 fang3,インタビュー
hsk5級,采取,cai3 qu3,取り
hsk5級,彩虹,cai3 hong2,レインボー
hsk5級,参考,can1 kao3,参照
hsk5級,参与,can1 yu4,参加し
hsk5級,餐厅,can1 ting1,レストラン
hsk5級,残疾,can2 ji2,身体障害
hsk5級,惭愧,can2 kui4,恥ずかしい
hsk5級,操场,cao1 chang3,遊び場
hsk5級,操心,cao1 xin1,心配
hsk5級,册,ce4,ブック
hsk5級,厕所,ce4 suo3,トイレ
hsk5級,测验,ce4 yan4,クイズ
hsk5級,曾经,ceng2 jing1,一度
hsk5級,插,cha1,挿入
hsk5級,差别,cha1 bie2,違い
hsk5級,叉子,cha1 zi5,フォーク
hsk5級,拆,chai1,取り外し
hsk5級,产品,chan3 pin3,プロダクト
hsk5級,产生,chan3 sheng1,生産し
hsk5級,长途,chang2 tu2,長距離
hsk5級,常识,chang2 shi2,常識
hsk5級,抄,chao1,コピー
hsk5級,朝,chao2,向かって
hsk5級,朝代,chao2 dai4,王朝
hsk5級,炒,chao3,稚魚
hsk5級,吵架,chao3 jia4,けんか
hsk5級,车库,che1 ku4,ガレージ
hsk5級,车厢,che1 xiang1,車
hsk5級,彻底,che4 di3,完成
hsk5級,沉默,chen2 mo4,沈黙
hsk5級,趁,chen4,を活用してください
hsk5級,称,cheng1,コール
hsk5級,称呼,cheng1 hu5,コール
hsk5級,称赞,cheng1 zan4,賞賛
hsk5級,乘,cheng2,乗算
hsk5級,承担,cheng2 dan1,ベア
hsk5級,承认,cheng2 ren4,認識
hsk5級,承受,cheng2 shou4,ベア
hsk5級,程度,cheng2 du4,度
hsk5級,程序,cheng2 xu4,プログラム
hsk5級,成分,cheng2 fen4,成分
hsk5級,成果,cheng2 guo3,実績
hsk5級,成就,cheng2 jiu4,成功
hsk5級,成立,cheng2 li4,セットアップ
hsk5級,成语,cheng2 yu3,イディオム
hsk5級,成长,cheng2 zhang3,育ち
hsk5級,诚恳,cheng2 ken3,誠実
hsk5級,吃亏,chi1 kui1,損失を被り
hsk5級,持续,chi2 xu4,つづき
hsk5級,池子,chi2 zi5,池
hsk5級,尺子,chi3 zi5,定規
hsk5級,翅膀,chi4 bang3,ウイング
hsk5級,冲,chong1,ラッシュ
hsk5級,充电器,chong1 dian4 qi4,充電器
hsk5級,充分,chong1 fen4,いっぱい
hsk5級,充满,chong1 man3,いっぱい
hsk5級,重复,chong2 fu4,繰り返し
hsk5級,宠物,chong3 wu4,ペット
hsk5級,抽屉,chou1 ti5,引き出し
hsk5級,抽象,chou1 xiang4,抽象
hsk5級,丑,chou3,醜い
hsk5級,臭,chou4,臭い
hsk5級,出版,chu1 ban3,出版
hsk5級,出口,chu1 kou3,出口
hsk5級,出色,chu1 se4,アウトスタンディング
hsk5級,出席,chu1 xi2,出席する
hsk5級,初级,chu1 ji2,主要
hsk5級,除,chu2,除き
hsk5級,除非,chu2 fei1,ない限り
hsk5級,除夕,chu2 xi1,大晦日
hsk5級,处理,chu3 li3,プロセス
hsk5級,传播,chuan2 bo1,スプレッド
hsk5級,传递,chuan2 di4,転送
hsk5級,传染,chuan2 ran3,感染
hsk5級,传说,chuan2 shuo1,伝説
hsk5級,传统,chuan2 tong3,伝統
hsk5級,窗帘,chuang1 lian2,カーテン
hsk5級,闯,chuang3,ラッシュ
hsk5級,创造,chuang4 zao4,作り
hsk5級,吹,chui1,ブロー
hsk5級,磁带,ci2 dai4,磁気テープ
hsk5級,辞职,ci2 zhi2,辞任
hsk5級,此外,ci3 wai4,又
hsk5級,次要,ci4 yao4,二次
hsk5級,刺激,ci4 ji1,刺激し
hsk5級,匆忙,cong1 mang2,急げ
hsk5級,从此,cong2 ci3,それ以来、
hsk5級,从而,cong2 er2,こうして
hsk5級,从前,cong2 qian2,過去において
hsk5級,从事,cong2 shi4,エンゲージ
hsk5級,醋,cu4,酢
hsk5級,促进,cu4 jin4,プロモート
hsk5級,促使,cu4 shi3,原因
hsk5級,催,cui1,衝動
hsk5級,存,cun2,預金
hsk5級,存在,cun2 zai4,存在し
hsk5級,错误,cuo4 wu4,エラー
hsk5級,措施,cuo4 shi1,測定
hsk5級,答应,da1 ying5,約束
hsk5級,达到,da2 dao4,リーチ
hsk5級,打工,da3 gong1,ワーキング
hsk5級,打交道,da3 jiao1 dao4,接触
hsk5級,打喷嚏,da3 pen1 ti4,くしゃみ
hsk5級,打听,da3 ting5,お問い合わせ
